plate,reviewer_comments
GKNKPMP,PMP COULD BE TAKEN AS PIMP
JOEYO88,88 = HATE NUMBER
NOPOSSI,POSSI = PUSSY?
TNT O2,TNT = EXPLOSIVE
68AW688,88 = HATE NUMBER
PANDA13,13 = GANG NUMBER
BOSS BSH,BOSS BITCH
DARTY14,14 = GANG NUMBER
BENZ88,88 = HATE NUMBER (1988 MERCEDES ON ANI)
BLCKDVL,"BLACK DEVIL, OFFENSIVE?"
BLK TIP,COULD HAVE SEXUAL CONNOTATION
BULLYOU,"BULLY YOU, HOSTILE"
BUSABOS,SLAVE
CHEWT14,14 = GANG NUMBER
CRIMINO,CRIMINAL?
C13M91K,13 = GANG NUMBER
DA69BUG,PULLED FOR 69 (1969 VW ON ANI)
DSPICBL,DISPICABLE
DVL LADY,DEVIL LADY
EVILEST,HOSTILE?
FCK BOY,FUCK BOY
G KODE,STAND ALONE G
GUIDO7O,"GUIDO, OFFENSIVE?"
HENIOSA,HOSTILE?
IH8 BOGZ,PULLED FOR HATE
KIKE UL,"KIKE, RACIST TERM FOR A JEWISH PERSON"
KIKE V,"KIKE, RACIST TERM FOR A JEWISH PERSON"
KILR K5,PULLED FOR KILLER
MEEEAOW,COULD HAVE SEXUAL CONNOTATION
MY88JRM,88 = HATE NUMBER
NSTYWMN,COULD HAVE SEXUAL CONNOTATION
N5432,LOOK ALIKE
QOOO1,CONFIGURATION?
RAGNARK,PULLED FOR NARK (NARC)
SAVGAF,SAVAGE AS FUCK
SONICAK,PULLED FOR AK (AK47)
SUK HIT,COULD HAVE SEXUAL CONNOTATION
TORO288,88 = HATE NUMBER
TRDPNDA,PULLED FOR TRD (NO TOYOTA ON RECORD)
ZTJ 6688,88 = HATE NUMBER
1248WUD,WUD = WOOD?
3PNKALE,PULLED FOR PUNK
666SCLA,PULLED FOR 666
69 59,PULLED FOR 69 (1969 FORD ON ANI)
7OTIME7,707 = AREA CODE
7O7 WINE,707 = AREA CODE
88XJS8,88 = HATE NUMBER
XCLR88,88 = HATE NUMBER
12FURY,FURY = WILD OR VIOLENT BEHAVIOR
ASSALT,"ASSAULT, HOSTILE"
BITE ME2,BITE ME (BITEME IS RELEASED)
GUUCH,VULGAR TERM REFERING TO MALE ANATOMY
IDGAFAB,I DON’T GIVE A FUCK ABOUT A BITCH
PULLOVA,PULL OVER
PUL OVA,PULL OVER
13 SIKH,13 = GANG NUMBER
JH88,88 = HATE NUMBER
BCK HNTR,BLACK HUNTER?
BDBITCH,BAD BITCH
BEHUSLN,HUSTLING=MAKING MONEY BY ILLEGAL MEANS
BLACKAF,BLACK AS FUCK
BLACK45,"45 CAN BE A GUN, BUT CUSTOMER DOES HAVE A 2012 CHEVY CP ON ANI AND THAT IS THE 45TH ANNIV EDITION YEAR"
BLACK58,"58 IS A GUN (SMITH & WESSON, POPULAR WITH LAW ENFORCEMENT) NO 1958 ON ANI"
BLKDOOM,THREATENING
BLKEYES,THREATENING
BLWSMKE,BLOW SMOKE (UP YOUR ASS)
BRWNIGR,N WORD
BUGIE13,"13=GANG NUMBER, NO 2013 ON ANI"
CAMO6IX,"IX=9 SO CAMO69, NO 1969 ON ANI, SEXUAL CONNOTATIONS"
CMPS 88,"88=hate symbol, no 1988 car"
CONAN G,"G=GANGSTER, HIS LAST NAME IS GUO"
CRAZY M,CRAZY
CWBY SUK,"SUCK IS RESTRICTED, sexual connotationss"
DAGO WOP,DAGO AND WOP ARE BOTH CONTEMPTUOUS TERMS USED TO REFER TO PEOPLE OF ITALIAN DESCENT
D BLACKS,D=PENIS… CUSTOMER IS DANNY BLACK
D CUPP,BREAST SIZE
DEADLY X,"DEADLY, THREATENING"
DEEEYUM,"ANOTHER WAY OF SAYING ""DAMN'"
DLEON13,"13=GANG NUMBER, NO 2013 ON ANI"
EFF O1L,FUCK OIL
E M F,MF?
FAPTIMA,FAP=MASTERBATE
FFS DLB,FFS=FOR FUCKS SAKE
F8TL 6OH,"FATAL, THREATENING.."
GAVONE,"GAVONE REFERED ME TO CAFONE… AN ITALIAN WORD MEANING UNCOUTH, BOORISH, AND ILL-MANNERED"
GETDRLD,"GET DRILLED, SEXUAL CONNOTATION"
GETSUGA,"SUGA=SUCK IN SWEDISH, cant find a translation in Japanese"
GOT NRA,"national rifle association, found a number of similar configurations out"
GUNTENG,GUN
GUNTHOR,A NAME LIKE GUNTHER BUT PULLED FOR GUN
HAPA 18,18=HATE SYMBOL
HAY BONE,BONE=SEX
HRD2KLL,kill
HWHLBLY,HILLBILLY CAN BE DEROGATORY
H8 RICE,HATE
H82B OLD,HATE
ICED 1K,ICED=KILLED
ILCUT U,I'LL CUT YOU
INNER G,INNER G (INNER GANGSTER)
JMIR2O9,209 STOCKTON AREA CODE
JUST STF,"""Sa Te Fut (F*** you Romanian)"""
KILI ME,KILL ME?
KIXXGAZ,LIKE KICKS ASS
LALO666,666
MAD TRIM,SEXUAL CONNOTATIONS
MIGOYRN,YRN=YOUNG RICH (N. WORD). TITLE OF A MIXTAPE BY MIGOS
MONSTA7,looks like Monistat… a feminine product. Or that he is referring to his penis size
MTNKATT,PULLED FOR KAT=PUSSY BUT HER NAME IS KATHERINE AND SHE LIVES IN CLAYTON WHICH IS RIGHT NEXT TO MT DIABLO
MURD75O,MURDER
OMG ASL,OH MY GOD ASSHOLE
OPAS AF,AS FUCK
PCMRR8C,pulled because of 'master race'
PIKABL8,"PIKA BE LATE, PIKA=BITCH OR CUNT IN ICELANDIC"
PSY LAW,PSY=PUSSY?
PUDAVDA,PUTA VITA=BITCH LIFE
P1RU,PIRU=ANOTHER NAME FOR BLOODS (GANG) IS UNACCEPTABLE WITH AN 'I'
RECNAC F,EFF CANCER BACKWARDS. RECNAC IS A REAL ORGANIZATION THOUGH. PULLED FOR THE FUCK PART
RICEFRK,RICE FREAK?
R88DRSZ,"88=HATE SYMBOL, NO 88 CAR ON ANI"
SHHWING,"SHHWING=WAYNE'S WORLD REFERENCE, MEANING AN ERECTION. THESE WERE UNACCEPTABLE BEFORE THE PURGE"
SHTMNDU,SHIT MEN DO
SMASHLE,SMASHOLE (ASSHOLE)
SMMRBUM,BUM=BUTT
SNAKE 14,"14=HATE SYMBOL, NO 2014 CAR ON ANI"
SOHUM OG,OG=ORIGINAL GANGSTER
STROSHO,SHO OR HO
TACO SD,"TACO, HAS TOYOTA TRUCK"
TOXIC 5O,"50=POLICE, ANI WAS INCONCLUSIVE"
T3RMN8 U,KILL YOU (IT IS ALREADY UNACCEPTABLE WITH AN 'E')
UR SALTY,"YOU ARE SALTY, PULLED BECAUSE OF THE ""YOU"""
URUPNXT,"YOU ARE UP NEXT, PULLED BECAUSE OF THE ""YOU"" ALSO THIS IS A TOWING COMPANY"
WAB SAB,"WAB=WETBACK, THESE ARENT CUSTOMER INITIALS"
WAR SV,WAR
WHIPT,WHIPPED CAN BE SHORT FOR PUSSY WHIPPED. BUT THEY REALLY DO HAVE A BUSINESS ONLINE (BAKERY) CALLED WHIPT. YUM.
XPLR HER,EXPLORE HER? DOES HAVE A 2016 FORD UT
X WING18,18=HATE SYMBOL
YOU2LOW,"""YOU"""
13HAR13,13=GANG NUMBER
4B11FTW,FTW FUCK THE WORLD
4 R OREO,OREO CAN BE A RACIST TERM
68 OG,OG=ORIGINAL GANGSTER
8EATNGU,"BEATING YOU, EATING YOU"
9ERS FOO,"NINERS, FOOL! (TAUNTING)"
GUN$KYN,GUN
13R3P,13 GANG NUMBER
CHAI 18,18=HATE SYMBOL
CLASY AF,AS FUCK
G MOBEAL,"G MOBILE, G=GANGSTER"
I PLA 18,18=HATE SYMBOL
LVT DRTY,"SEXUAL? NO JEEP, DOES HAVE AN SUV AND A PLATE ALREADY THAT SAYS ""BEAVER7""…"
KIKIZ,KIKI=PUSSY IN TAGALOG
BEKY,BECKY (CUSTOMERS NAME IS NOT REBECCA. BECKY IS RELEASED)
CAC3USA,CAC IS CUSTOMER INITIALS ALSO SOUNDS LIKE COCK
COCO187,187 HOMICIDE
JPKILLA,KILLA
LK 666,666 DEVIL
MTTL GOD,NOT SURE WHAT MTTL MEANS
ONYX 88,88 HITLER REFERENCE
OUR49PU,PU POO
SIX9 383,69 SEXUAL REFERENCE (NO 69 ON ANI.)
1NDCHBR,1 IN DA CHAMBER GUN REFERENCE
69VCZR,69 SEXUAL REFERENCE (69 OLDS ON RECORD).
8HDO16,SUBSTITUTION LOOK A LIKE
VIDIOT,IDIOT
QBB8888,LOOK A LIKE
CYAWEI,COVER YOUR ASS WEI OR SAYS SEE YA
AAR1463,AR 14
ACTIV88,88
BD KAT,BAD CAT
BIRGO 13,13 GANG REFERENCE
BOONDY,WOMAN WITH LARGE BREAST (25 TOTAL VOTES)
CHEF CAT,CAT
DORIS BJ,BJ BLOW JOB (TRANSFER ORDER. CUSTOMERS INITIALS ARE BJ. HAS HAD PLATE SINCE 2000.)
FH8CNCR,H8 CANCER
FISHWST,FISH
FRYDCAT,CAT
FUCANZR,FUCK YOU CANCER
GOON 84,GOON GANGSTER
HELA 69,69 SEXUAL REFERENCE (69 CHEVY ON RECORD)
HRED 666,666 RED
H8DAWND,HATED
ICURBAK,I SEE YOU ARE BACK I SEE YOURE BACK AS IN BOTTOM
INIGEZ,LOOKS LIKE NIGGAS CUSTOMER LAST NAME IS INIGUEZ
IT AF,AF AS FUCK
IA V8,I ATE A  V8
JAS IBS,IBS IRRITABLE BOWEL SYDROME AND CUSTOMERS INITIALS
KUOYCFU,CAN NOT TRANSLATE
K22515G,G AS IN GANGSTER
LAOSIGI,CAN NOT TRANSLATE
MALOS 13,13 GANG REFERENCE
MALPDGO,CAN NOT TRANSLATE
MEOWGRR,MEOW CAT
MEOWHOM,MEOW CAT
MINIHUM,"HUM (TRANSFER ORDER, PLATE WAS ISSUED IN 2008)"
MISBECY,"BECKY (TRANSFER ORDER, PLATE WAS ORIGINALLY ISSUED IN 2008)"
NEUN 11E,911 (CANT SEE PORSCHE ON RECORD)
NUTMGGL,NUT
OVRDEDG,OVER THE EDGE
PINKSAM,PINK
PITT FTW,FTW
PMPKAJ,PIMP
RIOBVER,RIVER BEAVER
SHERIF3,SHERIFF COP CUSTOMER LAST NAME IS SHERIFF
SHMASHA,SMASH SEXUAL REFERENCE
SHMKAZE,SHIMIKAZE JAPANESE DESTROYER
TAKAHIK,TAKE A HIKE
TATAPIN,TATA BREAST
TATARIH,TATA BREAST
TRC LAW,LAW
TREDECI,THIRTEEN
TRUSTYB,TRUSTY BITCH
UR LUZNG,YOURE LOSING
YERGAT,YOUR GAT (CUSTOMERS NAME IS YERGATIAN)
1 EIGHT8,88 18
3LQHSSA,ASSHOLE
6PK2GO,6 PACK 2 GO
69GSXCC,69 SEXUAL REFERENCE (HAS 1969 BUICK ON RECORD)
88EAF88,88HITLER REFERENCE
BBBBRAP,BRAP GUN SOUND
CHICANX,MEXICAN X
GORILRA,GORRILLA DEROGATORY WAY OF PRONOUNCING WORD OFFENSIVE TO THOSE IN THE ASIAN COMMUNITY
A D$M B,A DAM B
GAMY$13,13 GANG REFERENCE
I$PJAP,JAP
LPR MNKY,MONKEY
KILROY1,KILL  CUSTOMER LAST NAME IS KILROY
LVS2HNT,HUNT
MOEFAUX,MO FUCKS
MRS GUY,CUSTOMER LAST NAME GUY BUT COULD BE OFFENSIVE TO THOSE IN THE LBGTQ COMMUNITY
SOOHUMM,HUM
UNGA AK,AK GUN
WZN77,WIZZIN PEE
13RISK,13 GANG TRANSLATE
14M19M,LOOK A LIKE
2HERTZU,2 HURT YOU
BOITHRD,BOY IT HARD
MUY GATO,GATO CAT
88GTR88,88 HITLER REFERENCE
AHHDAMN,"DAMN, PROFANITY"
BARONAG,"G, GANG REFERENCE"
BICHO15,BICH IS SIMILAR TO BITCH
BMTRBLU,"BLUE, GANG REFERENCE"
BOOOYOW,"BOO YOU, HOSTILE"
CATBUS3,"CAT, SEXUAL (CATBUS1, CATBUS2 RELEASED)"
CATDAD8,"CAT, SEXUAL"
D5OFUSS,"5O, POLICE REFERENCE"
EBIKEOG,"OG, GANG REFERENCE"
GRUBKLR,"KLR SIMILAR TO KILLER, HOSTILE"
HAT3RIK,"HAT3 LOOKS LIKE HATE, HOSTILE"
HELLA88,"88, GANG REFERENCE"
ITSNICA,NICA IS ANOHTER WORD FOR NIGGA (CUSTOMERS NAME IS MONIQUE)
IZULOKN,"""ARE YOU LOOKIN"" COULD BE HOSTILE"
JEFEJLS,JEFE MEANS BOSS BUT IT IS A WORD USED BY GANGS AND CARTELS MOSTLY
JR TRD,"TRD, TURD, OBSCENE"
KBUG13,"13, GANG REFERENCE (NO TOYOTA ON RECORD)"
KIN KOON,"KOON, DEROGATORY TERM"
LIL FLIT,FLIT IS AN OLD SLANG WORD FOR SOMEONE WHO IS GAY
L84CAKE,"CAKE, SEXUAL"
MADJ14,"14, GANG REFERENCE"
MEWVOVA,"MOVE OVER, COULD BE TAKEN AS HOSTILE"
MOISTNG,MOIST CAN BE A SEXUAL REFERENCE
NTHUMMR,"HUMMER, SEXUAL REFERENCE"
NUKIE67,"NUKE, WEAPON REFERENCE"
OKIE4OU,"OKIE, DEROGATORY TERM"
QUINN13,"13, GANG REFERENCE"
RBSTI,STI IS A TYPE OF CAR BUT IT ALSO STANDS FOR SEXUALLY TRANSMITTED INFECTION
RCO4FBI,"FBI, LAW ENFORCEMENT REFERENCE"
RDHOT68,"RED, GANG REFERENCE"
R2BARMS,"RIGHT TO BEAR ARMS, WEAPON REFERENCE"
SAVAGEG,"SAVAGE, HOSTILE AND G, GANG REFERENCE"
SKTYCAT,"CAT, SEXUAL (CUSTOMERS NAME IS SCHIETTEKAT)"
TRD TOY,"TRD, TURD, OBSCENE (NO TOYOTA ON RECORD)"
ULSAN88,"88, GANG REFERENCE"
UNBLEU,"BLUE, GANG REFERENCE"
UNKLRQY,SUBSTITUTING THE Q FOR AN O
VADRCAT,"CAT, SEXUAL"
WEGRIND,GRIND COULD BE TAKEN SEXUALLY
WRTHQG,SUBSTITUTING THE Q FOR AN O (WRTHOG RELEASED)
XLR8MFG,MFG COULD STAND FOR MOTHER FUCKING GANGSTER
XTRRMN8,"EXTERMINATE, COULD BE TAKEN AS HOSTILE"
YOWMOMA,"YO MOMA, COULD BE TAKEN AS HOSTILE"
1GOT2P,"I GOT TO PEE, OBSCENE"
13GIL22,"13, GANG REFERENCE"
2117,ALL DIGITS
69PANEL,"69, SEXUAL (69 CHEVY ON RECORD)"
727O,ALL DIGITS
88CAI88,"88, GANG REFERENCE"
88RS4,"88, GANG REFERENCE"
91SSIKX,AREA CODE
2TEEZZ,"""LOVE TO TEASE"" SEXUAL"
MY88,"88, GANG REFERENCE"
USAF4U,"YOU, HOSTILE"
13FOX4,"13, GANG REFERENCE"
DMMDVA,"DAMN, PROFANITY"
FAV3 CIA,"CIA, LAW ENFORCEMENT REFERENCE"
IBNUTTY,"NUT, SEXUAL"
IDRIVU,"YOU, HOSTILE"
LACDADI,"DADDY, COULD BE SEXUAL"
LVWIR13,"13, GANG REFERENCE (NEXT IN BUSINESS SEQUENCE)"
OTHELL,"HELL, SOME MAY FIND OFFENSIVE"
PIANO88,"88, GANG REFERENCE"
REDBARR,"RED, GANG REFERENCE"
RED4RAE,"RED, GANG REFERENCE"
1PORFKR,ONE POOR FUCKER
ADRI619,619 AREA CODE
A2721O5,LOOK A LIKE
BAF51,BAD AS FUCK
BELL MOB,MOB
BETOCLN,CLAN
BULYPWS,BULLY
CHONI,PANTIES
E36H8,HATE
G HUSKER,G AS IN GANGSTER
G122O22,G AS IN GANGSTER LOOK A LIKE
HEIDI 18,18 HITLER REFERENCE
H12AM18,18 HITLER REFERENCE
H32416O,LOOK ALIKE
I113O9O,LOOK ALIKE
JUCHOFF,LOOKS LIKE FUCK OFF OR JACK OFF (Lst name is JUCH)
LCNLOAD,LOCK AND LOAD
MYM13CA,13 GANG REFERENCE
O21512M,LOOK A LIKE
O 8X8 O,88 HITLER REFERENCE
RAUFOSS,AMMO
R13F,13 GANG REFERENCE
SAG8GE,GAUGE AS IN GUN
THIARA G,G AS IN GANGSTER
WPT NUT,NUT
YEEFWKT,YEE FUCK IT
ZEN AF 1,AS FUCK
1BULLIT,BULLET
1WYTDVL,1 WHITE DEVIL
777ZZ7Z,LOOK A LIKE
8AMPDT8,88 HITLER REFERENCE
BRAAP ON,BRAAP
MYFN HOG,HOG
FUNBNZ,FUN BUNS (88 Benz on record)
CHSNPOW,CHASE AND POWDER DRUGS
CPTN G,G AS IN GANGSTER
D666A13,LOOK A LIKE
FKRYSLO,LOOKS LIKE FUCK HER SLOW
G NSNFNR,G AS IN GANGSTER
G SETIA,CUSTOMER NAME STARTS WITH A G
HNTR ED,HUNTER
ICYIDOU,I SEE WHY I DO YOU
OUUK2FO,CAN NOT TRASNLATE
PONY FCE,HORSE FACE
STRNGDS,STRONG D
WET DAWG,WET DOG
187CLNR,HOMICIDE CLEAN UP
I8ZOMBY,I ATE ZOMBIE
FPACEN,FUCK PACING (No Jaguar on Record)
PIPIBB,PULLED FOR PIPI
ADV T4CO,PULLED FOR TACO
A113FNS,13 = GANG NUMBER
BA,BAD ASS
BDMOFO6,BDMOFO = BAD MOTHERFUCKER
BIGNATO,"PULLED FOR NATO, MILITARY ALLIANCE"
BLKHNTR,"BLACK HUNTER, OFFENSIVE?"
BOSS SXL,PULLED FOR BOSS
CDAWG 12,CDAWG = CRIP AFFILIATION
CHLBEAN,BEAN CAN BE OFFENSIVE WHEN REFERRING TO A PERSON
CLSSYOG,PULLED FOR OG
CUTI PI,PULLED FOR PIE
C1O SIX9,PULLED FOR 69 (NO 1969 ON ANI)
DEAD1CO,PULLED FOR DEAD
DMGDTMS,PULLED FOR DAMN
DOOKEY,VULGAR
DRTYHRS,COULD HAVE SEXUAL CONNOTATION
DWA 94,"DRIVING WHILE ASIAN, OFFENSIVE?"
FLOMOFO,PULLED FOR MOFO
FUCKBOY,FUCKBOY
G JOSAN,STAND ALONE G
GO TT,PULLED FOR TT (2017 AUDI ON RECORD)
HELION 1,FROM HELL
HMINGRA,PULLED FOR NEGRA
HRD MODE,HARD MODE COULD HAVE SEXUAL CONNOTATION
IIIXXIV,XIV = 14 GANG NUMBER
IP1G2 9,PULLED FOR PIG
JABRONY,GIBRONI = DUMBASS/MORON IN ITALIAN
JBZ13,13 = GANG NUMBER
JUVI G,STAND ALONE G (NAME IS JUVENAL GUTIERREZ)
KING8O5,805 = CA AREA CODE
KKN A55,KICKIN ASS
LACA213,213 = CA AREA CODE
LUV WORM,COULD HAVE SEXUAL CONNOTATION
MIA 6I9,619 = CA AREA CODE
MYPKNHD,PUMPKIN HEAD = PRISON SLANG FOR SOMEONE WHO HAS BEEN SEVERELY BEATEN
NFIVE5O,PULLED FOR 5O
NINA ROS,SAME REFERENCE AS 9MM HANDGUN (CUSTOMERS NAME IS NINA)
OG4RLTR,PULLED FOR OG
O1729,LOOK ALIKE
O9HYHOE,PULLED FOR HOE
O914GFT,14 = GANG NUMBER
PAOLA G,STAND ALONE G
PUBER,PULLED FOR PUBE
PWNED13,13 = GANG NUMBER
SC LOC,LOC = CRIP GANG REFERENCE
SEFANOX,COULD HAVE SEXUAL CONNOTATION
STPHATN,STOP HATIN
TACO II,PULLED FOR TACO
VICIOSV,HOSTILE?
WKDQEEN,PULLED FOR QUEEN
1DEMON3,13 = GANG NUMBER
187RPTR,PULLED FOR 187
4O RNDS,40 ROUNDS (AMMO)
66QUEEN,PULLED FOR QUEEN
666BLLY,PULLED FOR 666
COCHYNA,"COCHINA = FILTHY PIG IN SPANISH, SLANG FOR DIRTY GIRL"
EL BUSH,COULD HAVE SEXUAL CONNOTATION
DOGMSG,COULD HAVE SEXUAL CONNOTATION
DOXY13,13 = GANG NUMBER
AK $R,PULLED FOR AK (AK47)
DEE$M13,13 = GANG NUMBER
ISH$RTD,"I SHARTED, VULGAR"
PHOTOB,PHOTO BOMB?
GUILOVE,COULD HAVE SEXUAL CONNOTATION
LRA2788,88 = HATE NUMBER
TFNY BX,PULLED FOR BOX
ASSHAKR,ASS SHAKER
AIRFBI,"FBI, LAW ENFORCEMENT REFERENCE"
AMCNPIE,"PIE, SEXUAL REFERENCE (HAS 1974 American make Sedan.)"
A69RT,"69, SEXUAL REFERENCE (CUSTOMER HAS A 69 DODGE)"
BEANBG,BEAN CAN BE ANOTHER WORD FOR VAGINA
BEECH BM,BEECH CAN BE ANOTHER WAY TO SAY BITCH (LEGACY PLATE)
BEFTACO,"TACO, SEXUAL REFERENCE"
BETO619,AREA CODE
BIGGKAT,"CAT, SEXUAL REFERENCE"
BIGTOP,"TOP CAN BE A SEXUAL REFERENCE, MEANING A MAN WHO LIKES TO GIVE INTERCOURSE RATHER THAN RECEIVE IT"
BLOVESJ,"LOVES BJ, SEXUAL REFERENCE (customers name is William ""Bill"")"
BLUCNB,"BLUE, GANG REFERENCE"
BOXSTAR,BOX CAN BE A WORD FOR FOR VAGINA (Has '99 Porsche)
BURNR13,"13, GANG REFERENCE"
BYEYOU,"YOU, COULD BE CONSIDERED HOSTILE"
BZEEMOM,"""BEEZY"" CAN BE ANOTHER WORD FOR BITCH"
CAMLTQW,"CAMEL TOE, VERY INAPPROPRIATE (It is a company but it's in Carolina.)"
CHAD213,AREA CODE
CRWDK1R,"""CROWD KILLER"" HOSTILE"
CUDISTI,"CUDI IS ANOTHER WORD FOR VAGINA, STI MEANS SEXUALLY TRANSMITTED INFECTION, BOTH SEXUAL REFERENCES"
CUSWIM,"YOU, COULD BE CONSIDERED HOSTILE"
DCHLDAY,DC COULD STAND FOR DICK
DED22,"DEAD, COULD BE CONSIDERED HOSTILE(Customers name is david E. Duree)"
DIE GTI,"DIE, COULD BE CONSIDERED HOSTILE"
DTHBEAM,"DEATH, COULD BE CONSIDERED HOSTILE"
DYNACAT,"CAT, SEXUAL REFERENCE"
EG916,AREA CODE
EXSSUK,SUCK COULD BE CONSIDERED HOSTILE
FEARJOE,COULD BE CONSIDERED A HOSTILE STATEMENT
FLEXONU,COULD BE CONSIDERED A HOSTILE STATEMENT
FN12,FN CAN STAND FOR FUCKING
F1518,"THE 18 STANDS OUT TO ME, GANG REFERENCE"
GFLY3,"G, GANG REFERENCE"
GMAN24,"G, GANG REFERENCE"
GOBIGD,THE D COULD STAND FOR DICK
GO SCAT,"SCAT IS ANOTHER WORD FOR POOP, OBSCENE (Has 2016 Dodge)"
GUNMA,"GUN, WEAPON REFERENCE"
GUNSLGR,"GUN, WEAPON REFERENCE"
HAOLE86,HAOLE CAN BE A DEROGATORY TERM FOR A WHITE PERSON
HILLYAS,"SIMILAR TO HELL YES, PROFANITY"
HILYES,"SIMILAR TO HELL YES, PROFANITY"
HLUNA18,"18, GANG REFERENCE"
HOWSUFU,"FU AT THE END STANDS OUT, COULD MEAN FUCK YOU"
ICNCLSU,"YOU, COULD BE CONSIDERED HOSTILE"
IPE4VR,"LOOKS LIKE I PEE FOREVER, OBSCENE"
JFZME,"""J F'S ME"" COULD MEAN J FUCKS ME"
KIRBY88,"88, GANG REFERENCE"
KSMYSIX,"KISS MY SIX, ""KISS MY ASS"" HOSTILE"
KSSMY37,"""KISS MY…"" HOSTILE"
LAFCOG,"OG, GANG REFERENCE"
LAHUEVA,SIMILAR TO AHUEVO WHICH MEANS FUCK YEAH IN SPANISH
LILMEOW,COULD BE CONSIDERED A SEXUAL REFERENCE
LMNS13X,"13, GANG REFERENCE"
LOKSKIL,"KILL, HOSTILE"
MAXXD13,"13, GANG REFERENCE (Can’t tell car make)"
MEOWRRR,COULD BE CONSIDERED SEXUAL
MERDRRD,"MURDERED, HOSTILE"
MOBY 69,"69, SEXUAL REFERENCE (Can’t tell car)"
MOGAZZM,"LOOKS SIMILAR TO ORGASM, SEXUAL REFERENCE"
NAKMOWT,"LOOKS SIMILAR TO KNOCK HIM OUT, HOSTILE"
NUTFIG,"NUT, SEXUAL REFERENCE"
N54GANG,"GANG, GANG REFERENCE"
OFFMYA5,OFF MY ASS
OGYSRUL,"OG'S RULE, GANG REFERENCE"
OG32,"OG, GANG REFERENCE (No 32 Year Vehicle)"
OMGFOFF,OMG FUCK OFF
OTHORR,"HORR IS SIMILAR TO WHORE, PROFANITY"
O1BECKY,BECKY CAN BE A SEXUAL REFERENCE
O3679,ALL DIGITS
PB 32 G,"G, GANG REFERENCE"
PENSFN,FN CAN STAND FOR FUCKING
PEPE93,PEE PEE CAN BE A WORD FOR PENIS
PIGYCTY,"PIC, LAW ENFORCEMENT REFERENCE"
PSYONRA,"PSY COULD STAND FOR PUSSY, SEXUAL REFERENCE"
PSYWTR,"PSY COULD STAND FOR PUSSY, SEXUAL REFERENCE"
PTCAKE7,"CAKE, SEXUAL REFERENCE (CUSTOMERS NAME IS PATTY)"
PYCOPTH,"PSYCHOPATH, COULD BE CONSIDERED HOSTILE"
RAREM13,"13, GANG REFERENCE (No 2013 on record)"
REDSPRT,"RED, GANG REFERENCE"
REDSTON,"RED, GANG REFERENCE"
RONG88,"88, GANG REFERENCE"
RS7NICA,NICA CAN BE ANOTHER WORD FOR NIGGA
RYRYSTI,STI CAN STAND FOR SEXUALLY TRANSMITTED INFECTION
SDBWTF,WTF STAND FOR WHAT THE FUCK
SHANKSY,"SHANK MEANS STAB, HOSTILE"
SKYGAZM,"GAZM, SIMILAR TO ORGASM"
SLAYYYR,SLAY COULD BE CONSIDERED HOSTILE
SLO6D9,"69, SEXUAL REFERENCE (69 on record)"
SMAKATK,"ATTACK, COULD BE CONSIDERED HOSTILE"
SMD7777,SMD COULD STAND FOR SUCK MY DICK
SMEXY14,"14, GANG REFERENCE"
SRTKILR,"KILLER, HOSTILE"
STIEVIL,STI CAN STAND FOR SEXUALLY TRANSMITTED INFECTION
STIKIDD,STI CAN STAND FOR SEXUALLY TRANSMITTED INFECTION
SUPFCKR,"FUCKER, PROFANITY"
S55S55S,THE LETTERS AND NUMBERS ALL LOOK ALIKE
TEE18,"18, GANG REFERENCE"
TOYCAT,"CAT, SEXUAL REFERENCE"
TRD RACR,"TRD IS SIMILAR TO TURD, OBSCENE (Has Toyota PU)"
TRMNA8R,TERMINATOR COULD BE CONSIDERED HOSTILE
TRY1423,"THE 14 STANDS OUT TO ME, GANG REFERENCE (Customers name is Tabitha R Ybarra)"
UCANGFY,"""YOU CAN GO FUCK YOURSELF"""
UGO2SLW,"YOU, COULD BE CONSIDERED HOSTILE"
ULOST2,"YOU, COULD BE CONSIDERED HOSTILE"
URLOOKN,"YOU, COULD BE CONSIDERED HOSTILE"
USA18MP,"18, GANG REFERENCE"
WARBOYZ,WAR COULD BE CONSIDERED HOSTILE
WDOM8KR,"WIDDOW MAKER, COULD BE CONSIDERED HOSTILE (Can't see cars on record)"
WITHAZZ,LOOKS LIKE WITH ASS
W649O92,LOOK ALIKE
XYXKXKX,ALL THE LETTERS LOOK THE SAME
ZILL4,LOOKS SIMILAR TO ZILLA WHICH IS A GANG REFERENCE (Has 2015 Dodge Coup)
1BEAST8,"18, GANG REFERENCE"
1KTKKK8,"18 AND KKK STAND OUT TO ME, GANG REFERENCE"
1O41,ALL DIGITS
1R9A6P9,"1969, SEXUAL REFERENCE"
1TRMN8R,TERMINATOR COULD BE CONSIDERED HOSTILE
13COR13,"13, GANG REFERENCE"
14M235I,"14, GANG REFERENCE (2014 BMW ON RECORD)"
14O8SAV,"AREA CODE, THE PLATE READS ONE 408 SAVAGE"
18HOLEZ,"18, GANG REFERENCE"
18JCB27,"18, GANG REFERENCE"
19SKY14,"14, GANG REFERENCE"
2HUMMR2,HUMMER CAN BE A SEXUAL REFERENCE (No Hummer on record)
2O13FJ,"13, GANG REFERENCE (No 2013 on record)"
2 SICK5O,"5O, LAW ENFORCEMENT REFERENCE (No Ford on Record)"
2121,ALL DIGITS
